H1,AB,father
H2,AB,father
H3,AB,freshness
H4,AB,fruit
H5,ABGTA,Abagtha
H6,ABD,perish
H7,ABD,perish
H8,ABD,destruction
H9,ABDH,a lost thing
H10,ABDH,Destruction
H11,ABDW,Destruction
H12,ABD,destruction
H13,ABD,destruction
H14,ABH,be willing
H15,ABH,entreat
H16,ABH,reed
H17,ABWY,Oh!
H18,ABWS,crib
H19,ABXH,slaughter
H20,AB+YX,water-melons
H21,ABY,Abi
H22,ABYAL,Abiel
H23,ABYAS,Abiasaph
H24,ABYB,green
H25,ABYGBOW,father of Gibeon
H26,ABYGYL,Abigal
H27,ABYD,Abidan
H28,ABYDO,Abida
H29,ABYH,Abiah
H30,ABYHWA,Abihu
H31,ABYHWD,Abihud
H32,ABYHYL,Abihail
H33,ABYHOZRY,Abiezrite
H34,ABYW,in want
H35,ABYWNH,caper-berry
H36,ABY+WB,Abitub
H37,ABY+L,Abital
H38,ABY,Abijam
H39,ABYMAL,Abimael
H40,ABYML,Abimelech
H41,ABYNDB,Abinadab
H42,ABYNO,Abinoam
H43,ABYS,Ebiasaph
H44,ABYOZR,Abiezer
H45,ABYOLBW,Abialbon
H46,ABYR,strong
H47,ABYR,mighty
H48,ABYR,Abiram
H49,ABYG,Abishag
H50,ABYWO,Abishua
H51,ABYWR,Abishur
H52,ABYY,Abishai
H53,ABYLW,Abishalom
H54,ABYTR,Abiathar
H55,AB,turn
H56,ABL,mourn
H57,ABL,mourning
H58,ABL,a meadow
H59,ABL,Abel
H60,ABL,mourning
H61,ABL,nay
H62,ABLBYTMOKH,Abel-beth-maachah
H63,ABLH+Y,Abelshittim
H64,ABLKRMY,plain of the vineyards
H65,ABLMXWLH,Abel-meholah
H66,ABLMY,Abel-maim
H67,ABLMCRY,Abel-mizraim
H68,AB,stone
H69,AB,stone
H70,AB,wheel
H71,ABNH,Abana
H72,ABHOZR,Ebenezer
H73,ABN+,girdle
H74,ABNR,Abner
H75,ABS,feed
H76,ABOBOH,blisters
H77,AB,Abez
H78,ABC,Ibzan
H79,ABQ,wrestle
H80,ABQ,dust
H81,ABQH,powders
H82,ABR,fly
H83,ABR,pinions
H84,ABRH,pinion
H85,ABRH,Abraham
H86,ABR,kneel
H87,ABR,Abram
H88,ABT,Oboth
H89,AGA,Agee
H90,AGG,Agag
H91,AGGY,Agagite
H92,AGDH,band
H93,AGWZ,nuts
H94,AGWR,Agur
H95,AGWRH,payment
H96,AGL,drop
H97,AGLY,Eglaim
H98,AG,troubled pool
H99,AG,sad
H100,AGMW,rush
H101,AG,bowl
H102,AG,band
H103,AGR,gather
H104,AGRA,letter-missive
H105,AGR+L,basin
H106,AGR,fist
H107,AGRT,letter
H108,AD,mist
H109,ADB,grieve
H110,ADBAL,Adbeel
H111,ADD,Hadad
H112,ADW,Iddo
H113,ADW,lord
H114,ADW,Addon
H115,ADWRY,Adoraim
H116,ADY,then
H117,ADYR,majestic
H118,ADLYA,Adalia
H119,AD,be red
H120,AD,man
H121,AD,Adam
H122,AD,red｜rosy
H123,AD,Edom
H124,AD,carnelian
H125,ADMD,reddish
H126,ADMH,Admah
H127,ADMH,ground
H128,ADMH,Adamah
H129,ADMY,Adami
H130,ADMY,Edomite
H131,ADMY,Adummim
H132,ADMNY,red
H133,ADMTA,Admatha
H134,AD,base
H135,AD,Addan
H136,ADNY,lord
H137,ADNYBZQ,Adonibezek
H138,ADNYH,Adonijah
H139,ADNYCDQ,Adonizedec
H140,ADNYQ,Adonikam
H141,ADNYR,Adoniram
H142,ADR,wide
H143,ADR,Adar
H144,ADR,Adar
H145,ADR,amplitude
H146,ADR,Addar
H147,ADR,threshing-floor
H148,ADRGZR,counsellor
H149,ADRZDA,correctly
H150,ADRK,drachma
H151,ADR,Adoram
H152,ADRML,Adrammelech
H153,ADRO,force
H154,ADROY,Edrei
H155,ADRT,glory
H156,AD,tread
H157,AHB,love
H158,AHB,love
H159,AHB,amours
H160,AHBH,love
H161,AHD,Ohad
H162,AHH,alas!
H163,AHWA,Ahava
H164,AHWD,Ehud
H165,AHY,where?
H166,AHL,be clear
H167,AHL,tent
H168,AHL,tent
H169,AHL,Ohel
H170,AHLH,Oholah
H171,AHLYAB,Oholiab
H172,AHLYBH,Oholibah
H173,AHLYBMH,Oholibamah
H174,AHLY,aloe
H175,AHRW,Aaron
H176,AW,desire｜or
H177,AWAL,Uel
H178,AWB,skin-bottle
H179,AWBYL,Obil
H180,AWBL,stream
H181,AWD,brand
H182,AWDWT,cause
H183,AWH,incline
H184,AWH,sign
H185,AWH,desire
H186,AWZY,Uzai
H187,AWZL,Uzal
H188,AWY,woe!
H189,AWY,Evi
H190,AWYH,woe!
H191,AWYL,foolish
H192,AWYLMRD,Evil-merodach
H193,AWL,body｜leading man
H194,AWLY,if not
H195,AWLY,Ulai
H196,AWLY,silly
H197,AWL,porch
H198,AWL,Ulam
H199,AWL,but
H200,AWLT,folly
H201,AWMR,Omar
H202,AW,vigour
H203,AW,On
H204,AW,On
H205,AW,trouble
H206,AW,Aven
H207,AWNW,Ono
H208,AWN,Onam
H209,AWN,Onan
H210,AWPZ,Uphaz
H211,AWPYR,Ophir
H212,AWP,wheel
H213,AW,press
H214,AWCR,treasure
H215,AWR,be light
H216,AWR,light
H217,AWR,flame｜region of light
H218,AWR,Ur
H219,AWRH,herb｜light
H220,AWRH,manger
H221,AWRY,Uri
H222,AWRYAL,Uriel
H223,AWRYH,Uriah｜Urijah
H224,AWRY,Urim
H225,AWT,consent
H226,AWT,sign
H227,AZ,at that time｜from that time
H228,AZA,make hot
H229,AZBY,Ezbai
H230,AZD,sure
H231,AZWB,hyssop
H232,AZWR,waistcloth
H233,AZY,then
H234,AZKRH,memorial-offering
H235,AZL,go
H236,AZL,go
H237,AZL,Ezel
H238,AZ,give ear
H239,AZ,weigh
H240,AZ,implements
H241,AZ,ear
H242,AZARH,Uzzen-sherah
H243,AZNWTTBWR,Aznoth-tabor
H244,AZNY,Ozni
H245,AZNYH,Azaniah
H246,AZQY,manacle
H247,AZR,gird
H248,AZRWO,arm
H249,AZRX,a native
H250,AZRXY,Ezrachite
H251,AX,brother
H252,AX,brother
H253,AX,ah!
H254,AX,fire-pot
H255,AX,jackal
H256,AXAB,Ahab
H257,AXB,Ahban
H258,AXD,be sharp
H259,AXD,one
H260,AXW,reeds
H261,AXWD,Ehud
H262,AXWH,declaration
H263,AXWH,a declaring
H264,AXWH,brotherhood
H265,AXWX,Ahoah
H266,AXWXY,Achochite
H267,AXWMY,Ahumai
H268,AXWR,the hinder side
H269,AXWT,sister
H270,AXZ,grasp
H271,AXZ,Ahaz
H272,AXZH,possession
H273,AXZY,Ahasai
H274,AXZYH,Ahaziah
H275,AXZ,Ahuzam
H276,AXZT,Ahuzzath
H277,AXY,Ahi
H278,AXY,Ehi
H279,AXYA,Ahiam
H280,AXYDH,riddle
H281,AXYH,Ahiah
H282,AXYHWD,Ahihud
H283,AXYW,Ahio
H284,AXYXD,Ahihud
H285,AXY+WB,Ahitub
H286,AXYLWD,Ahilud
H287,AXYMWT,Ahimoth
H288,AXYML,Ahimelech
H289,AXYM,Ahiman
H290,AXYMO,Ahimaaz
H291,AXY,Ahian
H292,AXYNDB,Ahinadab
H293,AXYNO,Ahinoam
H294,AXYSM,Ahisamach
H295,AXYOZR,Ahiezer
H296,AXYQ,Ahikam
H297,AXYR,Ahiram
H298,AXYRMY,Achiramite
H299,AXYRO,Ahira
H300,AXYXR,Ahishar
H301,AXYR,Ahishar
H302,AXYTPL,Ahithophel
H303,AXLB,Ahlab
H304,AXLY,Ahlai
H305,AXLY,ah that!
H306,AXLMH,amethyst
H307,AXMTA,Achmetha
H308,AXSBY,Ahasbai
H309,AXR,to remain behind
H310,AXR,backwards｜the hinder
H311,AXR,after
H312,AXR,another
H313,AXR,Aher
H314,AXRW,coming after
H315,AXRX,Aharah
H316,AXRXL,Aharhel
H317,AXRY,another
H318,AXRY,and unto the last
H319,AXRYT,after-part
H320,AXRYT,end
H321,AXR,another
H322,AXRNYT,backwards
H323,AXDRP,satraps
H324,AXDRP,satraps
H325,AXWRW,Ahasuerus
H326,AXTRY,Haakashtari
H327,AXTR,royal
H328,A+,gently｜mutterer
H329,A+D,bramble
H330,A+W,thread
H331,A+,shut
H332,A+R,shut up
H333,A+R,Ater
H334,A+R,shut up
H335,AY,where?
H336,AY,not
H337,AY,alas!
H338,AY,jackal
H339,AY,coast
H340,AYB,be hostile to
H341,AYB,be hostile to
H342,AYBH,enmity
H343,AYD,distress
H344,AYH,hawk
H345,AYH,Aiah
H346,AYH,where?
H347,AYWB,Job
H348,AYZBL,Jezebel
H349,AY,how?｜How?
H350,AYKBWD,I-chabod
H351,AYKH,where
H352,AYL,leader｜projecting pillar｜ram｜terebinth
H353,AYL,help
H354,AYL,hart
H355,AYLH,hind
H356,AYLW,Elon
H357,AYLW,Aijalon
H358,AYLWBYTXN,Elon-bethhanan
H359,AYLWT,Elath
H360,AYLWT,power
H361,AYL,porch
H362,AYL,Elim
H363,AYL,tree
H364,AYLPAR,El-paran
H365,AYLT,hind
H366,AY,terrible
H367,AYMH,terror
H368,AYMY,Emims
H369,AY,nothing
H370,AY,whence?
H371,AY,is it not?
H372,AYOZR,Jeezer
H373,AYOZRY,an Iezrite
H374,AYPH,ephah
H375,AYPH,what place?
H376,AY,man
H377,AY,be a man
H378,AYBT,Ish-bosheth
H379,AYHWD,Ishod
H380,AYW,pupil
H381,AYXYL,a valiant man
H382,AY+WB,Ish-tob
H383,AYTY,there is
H384,AYTYAL,Ithiel
H385,AYTMR,Ithamar
H386,AYT,perennial
H387,AYT,Ethan
H388,AYTNY,Ethanim
H389,A,surely
H390,AKD,Accad
H391,AKZB,deceptive
H392,AKZYB,Achzib
H393,AKZR,cruel
H394,AKZRY,cruel
H395,AKZRYWT,cruelty
H396,AKYLH,an eating
H397,AKY,Achish
H398,AKL,eat
H399,AKL,eat
H400,AKL,food
H401,AKL,Ucal
H402,AKLH,food
H403,AK,firmly
H404,AK,press
H405,AK,pressure
H406,AKR,ploughman
H407,AK,Achshaph
H408,AL,not
H409,AL,do not
H410,AL,god
H411,AL,these
H412,AL,these
H413,AL,motion to
H414,ALA,Elah
H415,ALALHYYRAL,Elelohe-israel
H416,ALBYTAL,El-beth-el
H417,ALGBY,hail
H418,ALGWMY,sandal-wood
H419,ALDD,Eldad
H420,ALDOH,Eldaah
